codigo;tipo_responsavel_movimento
1;Magistrado
3;Magistrado
7;Magistrado
11;Magistrado
14;Serventuário
15;Serventuário - Contador
16;Serventuário - Contador
18;Serventuário - Distribuidor
22;Serventuário - Distribuidor
25;Magistrado
26;Serventuário - Distribuidor
36;Serventuário - Distribuidor
48;Serventuário - Escrivão
51;Serventuário - Escrivão
56;Magistrado
60;Serventuário - Escrivão
63;Magistrado
67;Serventuário - Escrivão
83;Magistrado
85;Serventuário - Escrivão
92;Serventuário - Escrivão
104;Serventuário - Oficial de Justiça
105;Serventuário - Oficial de Justiça
106;Serventuário - Oficial de Justiça
108;Magistrado
112;Serventuário - Oficial de Justiça
113;Magistrado
115;Serventuário - Oficial de Justiça
117;Magistrado
118;Serventuário - Escrivão
122;Magistrado
123;Serventuário - Escrivão
128;Magistrado
132;Serventuário - Escrivão
133;Magistrado
135;Serventuário - Escrivão
137;Serventuário - Escrivão
138;Magistrado
146;Magistrado
151;Magistrado
157;Magistrado
160;Magistrado
163;Magistrado
172;Magistrado
175;Magistrado
190;Magistrado
193;Magistrado
196;Magistrado
198;Magistrado
200;Magistrado
202;Magistrado
206;Magistrado
207;Magistrado
208;Magistrado
210;Magistrado
212;Magistrado
214;Magistrado
218;Magistrado
219;Magistrado
220;Magistrado
221;Magistrado
228;Magistrado
230;Magistrado
235;Magistrado
236;Magistrado
237;Magistrado
238;Magistrado
239;Magistrado
240;Magistrado
241;Magistrado
242;Magistrado
244;Magistrado
245;Serventuário - Escrivão
246;Serventuário - Escrivão
263;Magistrado
264;Magistrado
265;Magistrado
266;Magistrado
268;Magistrado
269;Magistrado
270;Magistrado
271;Magistrado
272;Magistrado
275;Magistrado
276;Magistrado
277;Magistrado
278;Magistrado
279;Magistrado
311;Serventuário - Escrivão
313;Serventuário - Escrivão
332;Magistrado
334;Magistrado
335;Magistrado
339;Magistrado
347;Magistrado
348;Magistrado
349;Magistrado
352;Magistrado
353;Magistrado
354;Magistrado
355;Magistrado
357;Magistrado
358;Magistrado
371;Magistrado
373;Magistrado
374;Magistrado
377;Magistrado
378;Magistrado
381;Magistrado
383;Magistrado
385;Magistrado
388;Magistrado
389;Magistrado
390;Magistrado
391;Magistrado
392;Magistrado
393;Magistrado
394;Magistrado
399;Magistrado
400;Magistrado
402;Magistrado
404;Magistrado
417;Serventuário - Escrivão
429;Magistrado
430;Magistrado
431;Magistrado
432;Magistrado
433;Magistrado
434;Magistrado
442;Magistrado
443;Magistrado
444;Magistrado
445;Magistrado
446;Magistrado
447;Magistrado
448;Magistrado
449;Magistrado
450;Magistrado
451;Magistrado
452;Magistrado
453;Magistrado
454;Magistrado
455;Magistrado
456;Magistrado
457;Magistrado
458;Magistrado
459;Magistrado
460;Magistrado
461;Magistrado
462;Magistrado
463;Magistrado
464;Magistrado
465;Magistrado
466;Magistrado
471;Magistrado
472;Magistrado
473;Magistrado
478;Serventuário - Contador
479;Serventuário - Contador
480;Serventuário - Contador
481;Serventuário - Contador
488;Serventuário - Distribuidor
493;Serventuário - Escrivão
581;Serventuário - Escrivão
785;Magistrado
787;Magistrado
788;Magistrado
792;Magistrado
799;Magistrado
803;Magistrado
804;Magistrado
817;Magistrado
818;Magistrado
819;Magistrado
821;Magistrado
823;Magistrado
824;Magistrado
848;Serventuário - Escrivão
849;Serventuário - Escrivão
853;Magistrado
861;Serventuário - Escrivão
865;Serventuário - Arquivista
866;Serventuário - Arquivista
867;Serventuário - Arquivista
869;Serventuário - Arquivista
870;Serventuário - Arquivista
871;Magistrado
873;Serventuário - Escrivão
884;Magistrado
888;Magistrado
889;Magistrado
892;Magistrado
893;Serventuário - Escrivão
897;Serventuário - Escrivão
898;Magistrado
900;Magistrado
901;Magistrado
905;Magistrado
928;Serventuário - Escrivão
940;Magistrado
941;Magistrado
944;Magistrado
945;Magistrado
947;Magistrado
960;Magistrado
961;Magistrado
968;Magistrado
970;Serventuário - Escrivão
971;Magistrado
972;Magistrado
973;Magistrado
977;Serventuário - Arquivista
978;Serventuário - Arquivista
979;Serventuário - Contador
980;Serventuário - Contador
981;Serventuário - Distribuidor
982;Serventuário - Distribuidor
985;Magistrado
987;Magistrado
988;Magistrado
990;Magistrado
1002;Magistrado
1003;Magistrado
1004;Magistrado
1008;Magistrado
1009;Magistrado
1010;Magistrado
1011;Magistrado
1013;Magistrado
1014;Magistrado
1015;Magistrado
1016;Magistrado
1017;Magistrado
1018;Magistrado
1019;Magistrado
1042;Magistrado
1043;Magistrado
1044;Magistrado
1045;Magistrado
1046;Magistrado
1047;Magistrado
1048;Magistrado
1049;Magistrado
1050;Magistrado
1051;Serventuário - Escrivão
1052;Serventuário - Escrivão
1053;Magistrado
1054;Magistrado
1055;Magistrado
1059;Magistrado
1060;Magistrado
1061;Serventuário - Escrivão
1062;Serventuário - Escrivão
1063;Magistrado
10953;Magistrado
10961;Magistrado
10962;Magistrado
10963;Magistrado
10964;Magistrado
10965;Magistrado
10966;Serventuário - Escrivão
11002;Magistrado
11003;Serventuário - Escrivão
11008;Serventuário - Escrivão
11009;Magistrado
11010;Magistrado
11011;Magistrado
11012;Magistrado
11013;Magistrado
11014;Magistrado
11015;Magistrado
11016;Magistrado
11017;Magistrado
11018;Magistrado
11019;Magistrado
11020;Magistrado
11021;Magistrado
11022;Magistrado
11023;Magistrado
11024;Magistrado
11025;Magistrado
11373;Magistrado
11374;Magistrado
11375;Magistrado
11376;Magistrado
11377;Magistrado
11378;Magistrado
11379;Magistrado
11380;Magistrado
11381;Magistrado
11382;Magistrado
11383;Serventuário - Escrivão
11384;Serventuário - Escrivão
11385;Serventuário - Escrivão
11393;Magistrado
11394;Magistrado
11395;Magistrado
11396;Magistrado
11401;Magistrado
11402;Magistrado
11403;Magistrado
11404;Magistrado
11405;Magistrado
11406;Magistrado
11407;Magistrado
11408;Magistrado
11409;Magistrado
11411;Magistrado
11415;Magistrado
11423;Magistrado
11424;Magistrado
11425;Magistrado
11426;Magistrado
11554;Magistrado
11792;Magistrado
11795;Magistrado
11796;Magistrado
11801;Magistrado
11876;Magistrado
11877;Magistrado
11878;Magistrado
11879;Magistrado
11975;Magistrado
11983;Serventuário - Escrivão
12028;Magistrado
12029;Serventuário - Arquivista
12032;Magistrado
12033;Magistrado
12034;Magistrado
12035;Magistrado
12036;Magistrado
12037;Magistrado
12038;Magistrado
12039;Magistrado
12040;Magistrado
12041;Magistrado
12065;Serventuário - Escrivão
12066;Serventuário - Escrivão
12067;Magistrado
12068;Magistrado
12092;Magistrado
12093;Magistrado
12094;Magistrado
12095;Magistrado
12096;Magistrado
12097;Magistrado
12098;Magistrado
12099;Magistrado
12100;Magistrado
12101;Serventuário - Escrivão
12102;Serventuário - Escrivão
12103;Serventuário - Escrivão
12104;Serventuário - Escrivão
12105;Serventuário - Escrivão
12106;Serventuário - Escrivão
12107;Serventuário - Escrivão
12108;Serventuário - Escrivão
12109;Serventuário - Escrivão
12110;Serventuário - Escrivão
12111;Serventuário - Escrivão
12112;Serventuário - Escrivão
12113;Serventuário - Escrivão
12114;Serventuário - Escrivão
12115;Serventuário - Escrivão
12116;Serventuário - Escrivão
12140;Magistrado
12141;Magistrado
12142;Serventuário - Escrivão
12143;Serventuário - Escrivão
12144;Magistrado
12145;Magistrado
12146;Magistrado
12147;Magistrado
12148;Magistrado
12149;Magistrado
12150;Magistrado
12151;Magistrado
12163;Magistrado
12164;Magistrado
12165;Serventuário - Escrivão
12166;Serventuário - Escrivão
12167;Serventuário - Escrivão
12168;Serventuário - Escrivão
12169;Serventuário - Escrivão
12170;Serventuário - Escrivão
12171;Serventuário - Escrivão
12172;Serventuário - Escrivão
12173;Serventuário - Escrivão
12174;Serventuário - Escrivão
12175;Serventuário - Escrivão
12176;Serventuário - Escrivão
12177;Serventuário - Escrivão
12178;Serventuário - Escrivão
12179;Serventuário - Escrivão
12180;Magistrado
12181;Magistrado
12182;Magistrado
12183;Magistrado
12184;Magistrado
12185;Magistrado
12186;Serventuário - Escrivão
12187;Magistrado
12188;Magistrado
12189;Serventuário - Escrivão
12198;Serventuário - Escrivão
12199;Serventuário - Escrivão
12200;Serventuário - Escrivão
12201;Serventuário - Escrivão
12202;Serventuário - Escrivão
12203;Serventuário - Escrivão
12204;Serventuário - Escrivão
12205;Serventuário - Escrivão
12206;Magistrado
12207;Magistrado
12208;Magistrado
12209;Magistrado
12210;Magistrado
12211;Magistrado
12212;Serventuário - Escrivão
12213;Magistrado
12214;Serventuário - Escrivão
12215;Serventuário - Escrivão
12252;Magistrado
12253;Magistrado
12254;Magistrado
12255;Magistrado
12256;Magistrado
12257;Magistrado
12258;Magistrado
12259;Magistrado
12260;Serventuário - Escrivão
12261;Magistrado
12262;Magistrado
12263;Serventuário - Escrivão
12264;Serventuário - Escrivão
12265;Serventuário - Escrivão
12266;Serventuário - Escrivão
12267;Serventuário - Escrivão
12268;Serventuário - Escrivão
12269;Serventuário - Escrivão
12270;Serventuário - Escrivão
12271;Serventuário - Escrivão
